already-tested LR combos: 5
remaining untested combos to try: 1600
[108] LR_20260709_080614 f1_up=0.5477 | C=2.880e+03 solver=liblinear | elapsed=461s
[109] LR_20260709_080622 f1_up=0.5477 | C=1.532e+00 solver=liblinear | elapsed=469s
[110] LR_20260709_080630 f1_up=0.5483 | C=1.739e-08 solver=lbfgs | elapsed=471s
[111] LR_20260709_080632 f1_up=0.5477 | C=1.138e+01 solver=liblinear | elapsed=479s
[112] LR_20260709_080640 f1_up=0.5484 | C=5.022e-04 solver=liblinear | elapsed=484s
[113] LR_20260709_080645 f1_up=0.5482 | C=4.046e-07 solver=liblinear | elapsed=487s
[114] LR_20260709_080648 f1_up=0.5482 | C=3.176e-07 solver=lbfgs | elapsed=489s
[115] LR_20260709_080650 f1_up=0.5482 | C=1.646e-07 solver=liblinear | elapsed=491s
[116] LR_20260709_080652 f1_up=0.5477 | C=6.379e+03 solver=liblinear | elapsed=499s
[117] LR_20260709_080700 f1_up=0.5479 | C=1.935e-03 solver=lbfgs | elapsed=502s
[118] LR_20260709_080703 f1_up=0.5475 | C=3.463e-01 solver=lbfgs | elapsed=505s
[119] LR_20260709_080706 f1_up=0.5477 | C=9.716e+01 solver=liblinear | elapsed=513s
[120] LR_20260709_080714 f1_up=0.5477 | C=6.547e+00 solver=liblinear | elapsed=521s
[121] LR_20260709_080722 f1_up=0.5475 | C=1.256e+03 solver=lbfgs | elapsed=524s
[122] LR_20260709_080725 f1_up=0.5482 | C=5.229e-06 solver=liblinear | elapsed=527s
[123] LR_20260709_080728 f1_up=0.5477 | C=6.738e+02 solver=liblinear | elapsed=535s
[124] LR_20260709_080736 f1_up=0.5477 | C=3.443e+01 solver=liblinear | elapsed=543s
[125] LR_20260709_080744 f1_up=0.5482 | C=4.686e-04 solver=lbfgs | elapsed=546s
[126] LR_20260709_080747 f1_up=0.5483 | C=1.997e-08 solver=lbfgs | elapsed=548s
[127] LR_20260709_080749 f1_up=0.5475 | C=9.440e-01 solver=lbfgs | elapsed=551s
[128] LR_20260709_080752 f1_up=0.5490 | C=6.528e-05 solver=lbfgs | elapsed=553s
[129] LR_20260709_080754 f1_up=0.5477 | C=6.234e-01 solver=liblinear | elapsed=561s
[130] LR_20260709_080802 f1_up=0.5475 | C=7.782e+00 solver=lbfgs | elapsed=565s
[131] LR_20260709_080805 f1_up=0.5483 | C=9.467e-08 solver=lbfgs | elapsed=566s
[132] LR_20260709_080807 f1_up=0.5477 | C=3.841e-01 solver=liblinear | elapsed=574s
[133] LR_20260709_080815 f1_up=0.5483 | C=3.852e-08 solver=liblinear | elapsed=577s
[134] LR_20260709_080818 f1_up=0.5481 | C=1.377e-05 solver=lbfgs | elapsed=579s
[135] LR_20260709_080820 f1_up=0.5483 | C=2.067e-08 solver=liblinear | elapsed=581s
[136] LR_20260709_080822 f1_up=0.5481 | C=2.679e-02 solver=liblinear | elapsed=589s
[137] LR_20260709_080830 f1_up=0.5479 | C=1.438e-02 solver=liblinear | elapsed=597s
[138] LR_20260709_080838 f1_up=0.5475 | C=1.759e+00 solver=lbfgs | elapsed=600s
