index,C,solver,cv_f1_up_mean,cv_f1_up_std,cv_precision_up_mean,cv_recall_up_mean,cv_f1_up_folds_json,seconds,dataset_fingerprint,status,error
12,0.841395141645,liblinear,0.41693926571966167,0.059829441110868464,0.41859549406699104,0.42690645606994054,"[0.49155294720948123, 0.47017252130534193, 0.36823371018609025, 0.33268681761719004, 0.42205033228020483]",7.298,4c2259e97b3f,ok,
13,1.18850222744,lbfgs,0.4169067448757532,0.05965738040083613,0.41868107705739055,0.4268101183715638,"[0.4913500726764899, 0.47009054475285733, 0.36879589652754713, 0.33271541665757964, 0.42158179376429167]",2.463,4c2259e97b3f,ok,
14,1.18850222744,liblinear,0.41692879057750243,0.05980908337145756,0.4185890947885954,0.4268943882472508,"[0.49138950217220995, 0.47026858491826645, 0.3682773884175581, 0.3326504816283834, 0.422057995751094]",6.831,4c2259e97b3f,ok,
15,1.25892541179,lbfgs,0.4168911927321359,0.059641765768399024,0.4186631283054588,0.4267973241033959,"[0.4912930715079659, 0.47007658968117316, 0.3687890920496688, 0.33271541665757964, 0.42158179376429167]",2.537,4c2259e97b3f,ok,
16,1.25892541179,liblinear,0.41696030181741517,0.059835234521047435,0.4186243966842234,0.42692129696428827,"[0.49147448042050684, 0.47030526190759, 0.3682773884175581, 0.3326577312847336, 0.42208664705668736]",6.943,4c2259e97b3f,ok,
17,0.794328234724,lbfgs,0.41690709184358477,0.05968896401040682,0.4186710660588996,0.4268233639764918,"[0.49137857326075185, 0.47012200552141775, 0.36874538745387453, 0.3326790543487743, 0.42161043863310527]",2.477,4c2259e97b3f,ok,
18,0.794328234724,liblinear,0.4169305262364841,0.05982066482174031,0.41858570381627763,0.42689960088570744,"[0.4915389436499345, 0.4701428274490008, 0.36823371018609025, 0.33268681761719004, 0.42205033228020483]",6.972,4c2259e97b3f,ok,
19,1.33352143216,lbfgs,0.41689402366462297,0.059665133179911095,0.41866094310446966,0.4268091310720338,"[0.4913505657043518, 0.47006961245602835, 0.3687890920496688, 0.3326790543487743, 0.42158179376429167]",2.586,4c2259e97b3f,ok,
20,1.33352143216,liblinear,0.41695751836906486,0.059823286859608416,0.41862216030964017,0.4269147813746157,"[0.49145299145299143, 0.4702895322939866, 0.36830068975692526, 0.3326577312847336, 0.42208664705668736]",6.769,4c2259e97b3f,ok,
21,0.749894209332,lbfgs,0.4169099909625242,0.05969258129466052,0.41867165097398706,0.42682976111057574,"[0.49139306885544914, 0.47012200552141775, 0.36874538745387453, 0.3326790543487743, 0.42161043863310527]",2.556,4c2259e97b3f,ok,
22,0.749894209332,liblinear,0.416918889784172,0.059808276364300264,0.4185753292275587,0.4268863485673905,"[0.4915104552447154, 0.47011313359265966, 0.36823371018609025, 0.33268681761719004, 0.42205033228020483]",6.997,4c2259e97b3f,ok,
23,1.41253754462,lbfgs,0.4168969227779561,0.05966875117600075,0.41866152842758864,0.42681552820611773,"[0.49136506127101737, 0.47006961245602835, 0.3687890920496688, 0.3326790543487743, 0.42158179376429167]",2.522,4c2259e97b3f,ok,
