index,n_estimators,max_depth,min_samples_leaf,max_features,f1_up_mean,f1_up_std,precision_up_mean,recall_up_mean,seconds
61,100,5,100,0.6,0.45114174826335096,0.04696032267807051,0.42126912072483036,0.4973205789291953,83.97
62,100,5,100,log2,0.449962971493757,0.049143619666042644,0.42251324837649784,0.49331056492394804,39.49
63,80,5,80,0.3,0.4498070770573829,0.050056645916017994,0.4218922888031081,0.4943418869652615,32.95
64,100,5,100,0.5,0.4506611464305509,0.04657470453073179,0.4223684730304077,0.4948180200553011,61.93
65,80,5,80,sqrt,0.44879813879435326,0.05050205947719443,0.42235112967672317,0.49111606982689404,27.79
66,100,4,80,0.6,0.44859822145186373,0.046945815012787294,0.41923623838960866,0.49375053177771655,63.61
67,100,4,80,0.7,0.4492916301131652,0.04735760281714317,0.41811156362521806,0.49701765004047527,69.24
68,100,5,100,sqrt,0.449962971493757,0.049143619666042644,0.42251324837649784,0.49331056492394804,34.05
69,80,5,80,0.4,0.45058045814362363,0.047961517127350674,0.42238828981730603,0.495028396166472,43.3
70,100,4,80,0.3,0.44876160687786826,0.04937285763815845,0.4216125366927276,0.4924140728180573,34.93
71,80,7,100,0.6,0.45322878979753006,0.041996802483721576,0.4261036819087374,0.49237379453479624,81.61
72,80,7,100,0.4,0.45255795699630796,0.04397002105394716,0.4265457586400833,0.4916151835406833,57.18
73,80,7,100,0.3,0.45372965052768616,0.04411661301175381,0.42455365883029417,0.49679298270782474,41.4
74,80,7,100,0.5,0.45341615500820465,0.04344832649699406,0.4263568570486308,0.4936827892954013,65.32
75,80,7,100,log2,0.452040515474933,0.04412870909620905,0.4244832167546093,0.4922068265624878,33.7
76,80,7,100,sqrt,0.452040515474933,0.04412870909620905,0.4244832167546093,0.4922068265624878,33.87
77,80,7,100,0.7,0.45295119524645616,0.04129396413724289,0.42570928212993364,0.49183672402459705,90.25
78,100,6,100,0.6,0.4516676051873403,0.045563799221543244,0.4248364590992595,0.4929991601488175,91.2
79,150,4,100,0.3,0.4481093536499232,0.04877215520989373,0.421027711486047,0.4912130847753491,50.86
80,150,4,100,0.6,0.44890217157233875,0.046630357532153575,0.41887336784119034,0.4950315260132639,93.12
81,80,6,80,0.3,0.45131325974927783,0.04790984353963355,0.42436560934382683,0.49362073046242694,36.67
82,80,6,80,0.6,0.4517566359400228,0.044811530733398455,0.4245042897043391,0.49339904389479655,71.87
